name,link,desc,lang,star,fork,updatedAt
"doggy8088 / Learn-Git-in-30-days","https://github.com/doggy8088/Learn-Git-in-30-days","這是 Will 保哥在 2013 第 6 屆 iT 邦幫忙鐵人賽年度大獎的得獎著作【30 天精通 Git 版本控管】，歡迎大家 fork 我，如果有看見任何文字勘誤，也歡迎利用 pull request 來通知我修正，謝謝！","","2125","1551","2019-07-21T16:45:02Z"
"yzalis / Identicon","https://github.com/yzalis/Identicon","Generate awesome and unique identicons with beautiful colors","PHP","550","93","2019-12-17T16:33:30Z"
"AlloyTeam / CodeGuide","https://github.com/AlloyTeam/CodeGuide","Alloyteam代码规范","HTML","998","290","2019-06-05T07:03:49Z"
"adam-p / markdown-here","https://github.com/adam-p/markdown-here","Google Chrome, Firefox, and Thunderbird extension that lets you write email in Markdown and render it before sending.","JavaScript","42841","7519","2019-12-09T21:50:02Z"
"redzder / laravel-sitemap","https://github.com/redzder/laravel-sitemap","","PHP","1134","157","2018-09-05T06:35:10Z"
"summerblue / news.laravel-china.org","https://github.com/summerblue/news.laravel-china.org","Source Code of the https://news.laravel-china.org/ website, build on top of Laravel 5.1. Laravel 资讯网站源代码，使用 Laravel 5.1 构建","PHP","356","125","2018-09-16T10:49:56Z"
"o2team / guide","https://github.com/o2team/guide","O2前端规范文档","JavaScript","273","116","2018-06-04T09:35:29Z"
"YixuanFranco / yixuanfranco.github.io","https://github.com/YixuanFranco/yixuanfranco.github.io","极客绿呀极客绿. 模板是抄的, 但 theme + 配色, 还有很多细节是俺一个个调的. 如果遇到 bug, 欢迎来报. 么么哒.","CSS","10","6","2019-04-03T09:34:06Z"
"formspree / formspree","https://github.com/formspree/formspree","Easy HTML form without PHP or JavaScript","Python","2575","214","2019-11-13T17:27:05Z"
"gitscrum-ce / laravel-gitscrum","https://github.com/gitscrum-ce/laravel-gitscrum","Simple and Robust solution to manage your software development project","PHP","2522","645","2018-11-16T17:21:36Z"
"SoftEtherVPN / SoftEtherVPN","https://github.com/SoftEtherVPN/SoftEtherVPN","Cross-platform multi-protocol VPN software. Pull requests are welcome. The stable version is available at https://github.com/SoftEtherVPN/SoftEtherVPN_Stable.","C","6379","1722","2020-01-01T12:53:29Z"
"jinlong / jinlong.github.com","https://github.com/jinlong/jinlong.github.com","My blog - 存放一些原创和翻译的技术文章","HTML","20","1","2019-04-29T03:28:43Z"
"ruanyf / jstraining","https://github.com/ruanyf/jstraining","全栈工程师培训材料","","17049","4564","2019-11-11T21:32:33Z"
"Yikun / yikun.github.com","https://github.com/Yikun/yikun.github.com","Yikun's Blog","HTML","46","15","2019-02-20T16:27:56Z"
"ruanyf / jstutorial","https://github.com/ruanyf/jstutorial","Javascript tutorial book","CSS","5272","1351","2019-12-04T05:22:40Z"
"jfinal / jfinal","https://github.com/jfinal/jfinal","JAVA WEB + ORM Framework","Java","3019","1357","2019-12-25T15:44:03Z"
"evilcos / crawlers","https://github.com/evilcos/crawlers","Some crawlers u know it:-)","Python","332","161","2016-11-30T06:07:30Z"
"qiwsir / ITArticles","https://github.com/qiwsir/ITArticles","","Python","1843","749","2018-02-10T13:15:21Z"
"mapbox / mapbox-gl-js","https://github.com/mapbox/mapbox-gl-js","Interactive, thoroughly customizable maps in the browser, powered by vector tiles and WebGL","JavaScript","5557","1271","2020-01-07T03:13:07Z"
"googlefonts / noto-fonts","https://github.com/googlefonts/noto-fonts","Noto fonts, except for CJK and emoji","","1730","144","2020-01-06T16:29:38Z"
